Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP010001,,No,3,Graduate,,7200,0,99,60,1,Semiurban,N
LP010002,Male,Yes,3,Graduate,Yes,6400,700,93,180,0,Semiurban,Y
LP010003,,Yes,,Not Graduate,Yes,3750,4983,139,360,0,Rural,Y
LP010004,,,3,Graduate,Yes,5166,5250,70,,0,Semiurban,N
LP010005,Male,Yes,0,Not Graduate,,3366,1666,137,240,1,Rural,Y
LP010006,Male,,3,Graduate,No,13650,830,109,84,,Semiurban,Y
LP010007,,,,Not Graduate,Yes,5042,4983,55,360,1,Urban,N
LP010008,Female,No,3,Not Graduate,No,5042,2667,114,84,1,Rural,Y
LP010009,,No,2,Not Graduate,Yes,4583,1500,308,,1,Semiurban,N
LP010010,,No,2,Graduate,Yes,20166,2667,83,,1,Semiurban,Y
LP010011,,,,Graduate,Yes,7333,3263,74,120,,Semiurban,Y
LP010012,,No,0,Graduate,Yes,5266,500,349,480,1,Rural,N
LP010013,Male,Yes,0,Not Graduate,Yes,2853,4300,155,180,0,Urban,Y
LP010014,,Yes,1,Not Graduate,No,2333,800,155,120,0,Semiurban,Y
LP010015,Female,,,Graduate,Yes,2400,3750,59,60,0,Rural,Y
LP010016,Male,,3,Not Graduate,No,3416,4167,90,240,1,Semiurban,Y
LP010017,Female,No,,Not Graduate,,2645,1640,98,180,,Urban,Y
LP010018,Female,,1,Not Graduate,Yes,1800,1800,81,60,,Urban,Y
LP010019,Female,,,Graduate,No,3800,1213,349,480,,Urban,N
LP010020,Female,Yes,,Not Graduate,,1800,3369,267,480,1,Rural,Y
LP010021,Male,Yes,1,Graduate,,3073,2750,100,480,,Semiurban,Y
LP010022,Male,No,0,Graduate,,2301,3066,98,120,0,Rural,N
LP010023,Female,,3,Graduate,No,7333,3167,330,300,,Semiurban,N
LP010024,Female,,1,Graduate,Yes,2383,1213,81,360,1,Rural,N
